id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession
1,Rajya Sabha,Telangana,2022-2028,Dr Bandi Partha Saradhi,TRS,68,M,53002151679,7379869,4,0,Doctorate,Y,1353698280,Business
2,Rajya Sabha,Andhra Pradesh,2020-2026,Alla Ayodhya Rami Reddy,YSRCP,57,M,25777579180,1547552911,10,9,Post Graduate,Y,2621104675,Business
3,Rajya Sabha,Uttar Pradesh,2018-2024,Bachchan Jaya Amitabh,SP,69,F,10016391566,1056484796,0,0,Graduate,Y,1302810,Film Artist
4,Lok Sabha,Madhya Pradesh,Chhindwara,Nakul Nath,INC,44,M,6601946757,8791712,0,0,Graduate,Y,27681446,Service/Salary
5,Rajya Sabha,West Bengal,2018-2024,Abhishek Manu Singhvi,INC,59,M,6498099894,981698967,0,0,Doctorate,Y,1309695330,"Senior Advocate, Supreme Court of India"
6,Rajya Sabha,Uttar Pradesh,2022-2028,Kapil Sibbal,IND,73,M,6086076970,921553355,0,0,Post Graduate,Y,611786700,Senior Advocate
7,Rajya Sabha,Punjab,2022-2028,Vikramjit Singh Sahney,AAP,60,M,4984598383,2448151,0,0,Graduate,Y,17187030,Business- Whole time Director of Sun International Limited engaged in Trading in Fertilizer and Chemicals
8,Rajya Sabha,Punjab,2022-2028,Sanjeev Arora,AAP,58,M,4602850917,370554050,0,0,Graduate,Y,13445740,Managing Director
9,Rajya Sabha,Maharashtra,2022-2028,Prafulbhai Manoharbhai Patel,Nationalist Congress Party (Ajit Pawar),64,M,4161262584,142336428,0,0,Graduate,Y,27004380,Business & Social Service
10,Rajya Sabha,Andhra Pradesh,2020-2026,Nathwani Parimal,YSRCP,64,M,3968396198,2097795000,0,0,Doctorate,Y,143449000,"Member of Parliament (Rajya Sabha) & Group President, Reliance Industries Ltd."
11,Rajya Sabha,Haryana,2022-2028,Kartik Sharma,IND,41,M,3906322000,2975000,3,0,Graduate,Y,9980930,Business & Employment
12,Rajya Sabha,Gujarat,2021-2027,Mokariya Rambhai Harjibhai,BJP,63,M,3893441581,51203885,0,0,Graduate Professional,Y,114300000,Business
13,Rajya Sabha,Madhya Pradesh,2020-2026,Jyotiraditya M. Scindia,BJP,49,M,3790329144,2774000,0,0,Post Graduate,Y,15748100,"Service, Directorship"
14,Rajya Sabha,Gujarat,2023-2029,Desai Babubhai Jesangbhai,BJP,65,M,3475980096,302255135,1,1,10th Pass,Y,347967890,Builder
15,Lok Sabha,Karnataka,Bangalore Rural,D.K. Suresh,INC,52,M,3388920717,519320305,5,0,12th Pass,Y,18781090,Business Man and Social Worker
16,Lok Sabha,Andhra Pradesh,Narsapuram,Kanumuru Raghu Rama Krishna Raju,YSRCP,57,M,3259405378,1014467354,3,4,Post Graduate,Y,10865020,Business
