id,house,state,constituency_term,name,party,age,gender,assets,liabilities,cases,serious_cases,education,pan,income,profession,assets_ns,liabilities_ns,cases_ns,serious_cases_ns,income_ns,gender_encoded,house_encoded,education_encoded
1,Rajya Sabha,Telangana,2022-2028,Dr Bandi Partha Saradhi,TRS,68,M,53002151679,7379869,4,0,Doctorate,Y,1353698280,Business,1.0,0.003517917146336987,0.0196078431372549,0.0,0.5164609765155601,1,1,4
2,Rajya Sabha,Andhra Pradesh,2020-2026,Alla Ayodhya Rami Reddy,YSRCP,57,M,25777579180,1547552911,10,9,Post Graduate,Y,2621104675,Business,0.4863483056175765,0.7377045473938111,0.049019607843137254,0.16363636363636364,0.9999999999999999,1,1,10
3,Rajya Sabha,Uttar Pradesh,2018-2024,Bachchan Jaya Amitabh,SP,69,F,10016391566,1056484796,0,0,Graduate,Y,1302810,Film Artist,0.1889786876480846,0.5036167957307554,0.0,0.0,0.0004970461547858633,0,1,5
4,Lok Sabha,Madhya Pradesh,Chhindwara,Nakul Nath,INC,44,M,6601946757,8791712,0,0,Graduate,Y,27681446,Service/Salary,0.12455764443124284,0.004190930000309848,0.0,0.0,0.010560984558924569,1,0,5
5,Rajya Sabha,West Bengal,2018-2024,Abhishek Manu Singhvi,INC,59,M,6498099894,981698967,0,0,Doctorate,Y,1309695330,"Senior Advocate, Supreme Court of India",0.12259834398168726,0.4679670639886166,0.0,0.0,0.49967303575924527,1,1,4
6,Rajya Sabha,Uttar Pradesh,2022-2028,Kapil Sibbal,IND,73,M,6086076970,921553355,0,0,Post Graduate,Y,611786700,Senior Advocate,0.1148246214358227,0.43929619195393255,0.0,0.0,0.23340796185486182,1,1,10
7,Rajya Sabha,Punjab,2022-2028,Vikramjit Singh Sahney,AAP,60,M,4984598383,2448151,0,0,Graduate,Y,17187030,Business- Whole time Director of Sun International Limited engaged in Trading in Fertilizer and Chemicals,0.09404279492378878,0.0011670115526064271,0.0,0.0,0.006557170403734448,1,1,5
8,Rajya Sabha,Punjab,2022-2028,Sanjeev Arora,AAP,58,M,4602850917,370554050,0,0,Graduate,Y,13445740,Managing Director,0.08684028576614089,0.17663978129416838,0.0,0.0,0.005129798946316403,1,1,5
9,Rajya Sabha,Maharashtra,2022-2028,Prafulbhai Manoharbhai Patel,Nationalist Congress Party (Ajit Pawar),64,M,4161262584,142336428,0,0,Graduate,Y,27004380,Business & Social Service,0.07850874647481533,0.06785049444774155,0.0,0.0,0.010302671334558585,1,1,5
10,Rajya Sabha,Andhra Pradesh,2020-2026,Nathwani Parimal,YSRCP,64,M,3968396198,2097795000,0,0,Doctorate,Y,143449000,"Member of Parliament (Rajya Sabha) & Group President, Reliance Industries Ltd.",0.07486989609573395,0.9999999999999999,0.0,0.0,0.05472845146865414,1,1,4
11,Rajya Sabha,Haryana,2022-2028,Kartik Sharma,IND,41,M,3906322000,2975000,3,0,Graduate,Y,9980930,Business & Employment,0.0736987292397144,0.001418155730183359,0.014705882352941176,0.0,0.00380790973180039,1,1,5
12,Rajya Sabha,Gujarat,2021-2027,Mokariya Rambhai Harjibhai,BJP,63,M,3893441581,51203885,0,0,Graduate Professional,Y,114300000,Business,0.07345571168474825,0.024408431233747814,0.0,0.0,0.04360756786639969,1,1,6
13,Rajya Sabha,Madhya Pradesh,2020-2026,Jyotiraditya M. Scindia,BJP,49,M,3790329144,2774000,0,0,Post Graduate,Y,15748100,"Service, Directorship",0.07151026780389774,0.0013223408388331557,0.0,0.0,0.006008191946779081,1,1,10
14,Rajya Sabha,Gujarat,2023-2029,Desai Babubhai Jesangbhai,BJP,65,M,3475980096,302255135,1,1,10th Pass,Y,347967890,Builder,0.06557937867281469,0.1440823030849058,0.004901960784313725,0.01818181818181818,0.13275619753720824,1,1,0
15,Lok Sabha,Karnataka,Bangalore Rural,D.K. Suresh,INC,52,M,3388920717,519320305,5,0,12th Pass,Y,18781090,Business Man and Social Worker,0.06393681118945478,0.24755531641556966,0.024509803921568627,0.0,0.0071653338300958925,1,0,1
16,Lok Sabha,Andhra Pradesh,Narsapuram,Kanumuru Raghu Rama Krishna Raju,YSRCP,57,M,3259405378,1014467354,3,4,Post Graduate,Y,10865020,Business,0.06149321824310796,0.4835874592131261,0.014705882352941176,0.07272727272727272,0.004145206448117147,1,0,10
17,Lok Sabha,Andhra Pradesh,Guntur,Jayadev Galla,TDP,53,M,3051485242,203452417,0,0,Graduate,Y,401609970,business and agriculture,0.05757034561924778,0.09698393646662327,0.0,0.0,0.15322164499210622,1,0,5
18,Rajya Sabha,Andhra Pradesh,2018-2024,C M Ramesh,BJP,52,M,2582037599,392457789,2,0,12th Pass,Y,10176665,Bussiness,0.04871317890856234,0.1870810965799804,0.00980392156862745,0.0,0.003882586261077116,1,1,1
19,Lok Sabha,Uttar Pradesh,Mathura,Hema Malini Dharmendra Deol,BJP,70,F,2508270292,131288062,0,0,Doctorate,Y,11950800,Actor,0.0473213957232811,0.06258383779158593,0.0,0.0,0.0045594516365509135,0,0,4
20,Lok Sabha,Uttar Pradesh,Bijnor,Malook Nagar,BSP,53,M,2499628021,1016148176,7,0,Graduate,Y,1974160,Business,0.04715834019164235,0.4843886919360566,0.03431372549019608,0.0,0.0007531786192399966,1,0,5
21,Rajya Sabha,Andhra Pradesh,2022-2028,Masthan Rao Beeda,YSRCP,64,M,2432000156,692987871,0,0,Graduate,Y,153999640,Aqua & Real estate Business,0.04588239114061531,0.3303410824222576,0.0,0.0,0.058753716121619594,1,1,5
22,Rajya Sabha,Kerala,2021-2027,Abdul Vahab,IUML,70,M,2428336097,141544469,0,0,12th Pass,Y,12037910,Business,0.04581326057433236,0.06747297471869272,0.0,0.0,0.004592685715613398,1,1,1
23,Rajya Sabha,Bihar,2020-2026,Amarendra Dhari Singh,RJD,60,M,2381777162,108205113,0,0,Graduate,Y,741159118,Social Service & Business,0.044934823425235915,0.05158040370960937,0.0,0.0,0.2827659364653188,1,1,5
24,Rajya Sabha,Andhra Pradesh,2018-2024,Vemireddy Prabhakar Reddy,YSRCP,61,M,2302650883,968484206,0,0,Graduate,Y,78819500,Bussiness,0.04344193139616845,0.4616677063297414,0.0,0.0,0.03007109969768758,1,1,5
25,Lok Sabha,Andhra Pradesh,Nellore,Adala Prabhakara Reddy,YSRCP,70,M,2211663364,152281255,0,0,12th Pass,Y,90543972,Agriculturist & Buisness,0.04172525087515312,0.07259110399252548,0.0,0.0,0.03454420300860361,1,0,1
