mp_name,nature_membership,term_start_date,term_end_date,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note
Bhupathiraju Srinivasa Varma,Elected,2024-09-06,,Narsapuram,2,18,1,12,M.A. (Politics) 1999 from Andhra University,0.4705882352941177,0.017367853166226764,0.022933751406978613,0.14979718438840806,0.7825613703687855,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Chandra Sekhar Pemmasani,Elected,2024-09-06,,Guntur,2,66,1,12,"M.D. Internal Medicine at Geisinger Medical Center in Danville, Pennsylvania, USA 2005",0.338235294117647,0.017367853166226764,0.022933751406978613,0.14979718438840806,0.7825613703687855,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Maddila Gurumoorthy,Elected,2024-09-06,,Thirupati,2,70,1,3,"Bachelor of Physiotherapy from Sri Venkateswara Institute of Medical science, Tirupati 2004-2008",0.20588235294117646,0.002863961813842482,0.020833333333333332,0.015007898894154818,0.7825613703687855, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Kinjarapu Rammohan Naidu,Elected,2024-09-06,,Srikakulam,2,66,1,12,"MBA from Island University, New York, USA, Year 2011",0.16176470588235298,0.017367853166226764,0.022933751406978613,0.14979718438840806,0.7825613703687855,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Kiren Rijiju,Elected,2024-09-06,,Arunachal West,3,18,1,3,L.L.B. from Law Faculty of University of Delhi in year 1998,0.39705882352941174,0.017367853166226764,0.022933751406978613,0.14979718438840806,0.7825613703687855,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Sarbananda Sonowal,Elected,2024-09-06,,Dibrugarh,4,18,1,3,"LLB G. U. Law College, Gauhati University, Guwahati",0.5294117647058825,0.017367853166226764,0.022933751406978613,0.14979718438840806,0.7825613703687855,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Alok Kumar Suman,Elected,2024-09-06,,Gopalganj,5,36,1,12,"Master of Surgery from PMCH, Patna University in year 1991",0.6176470588235294,0.005727923627684964,0.0625,0.021327014218009477,0.7825613703687855, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Chirag Paswan,Elected,2024-09-06,,Hajipur,5,42,1,3,"B.Tech (IInd Semester) from Bundelkhand University, Jhansi in year 2005",0.23529411764705882,0.017367853166226764,0.022933751406978613,0.14979718438840806,0.7825613703687855,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Giriraj Singh,Elected,2024-09-06,,Begusarai,5,18,1,3,"B.A. from Magadh University, 1971",0.6764705882352942,0.017367853166226764,0.022933751406978613,0.14979718438840806,0.7825613703687855,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Janardan Singh Sigriwal,Elected,2024-09-06,,Maharajganj,5,18,1,3,"B.A, Bihar University, Muzaffarpur, 1980",0.588235294117647,0.0038186157517899762,0.0625,0.016587677725118485,0.7825613703687855, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
