mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900411,Rajeev Shankarrao Satav,Elected,2020-03-04,2021-05-16,1,,15,14,1,Post Graduate,"B.Sc, M.A., LL.B",49,37.0,,93.0,0.741935484, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.061463100564276396,0.29996313148654075,0.032372266712405076,2.220446049250313e-16,0.04694005461579711,0.04196167317125347,0.03860904725772832,0.5703374042975264,0
900316,N. K. Singh,Elected,2008-10-04,2014-04-09,1,,3,20,1,Post Graduate,"M.A. (Economics) Educated at St. Stephen's College, University of Delhi and Delhi School of Economics, Delhi",83,115.0,1.0,1036.0,0.859550562, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.16549539764768584,0.27589810041800295,0.36206158717115033,2.220446049250313e-16,0.10382717016144394,0.0009418729924548777,0.2897334500197549,0.7177851863008557,0
900488,Sasikala Pushpa,Elected,2014-03-04,2020-04-02,1,,25,1,0,Post Graduate,"B.A. (English Literature), M.A. (Public Administration), Diploma in Business Administation Educated at University of Madras, Chennai and Southern Cross University, Singapore",48,27.0,3.0,523.0,0.699745547, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.41713799416474234,0.43200559273247013,0.41395092872381517,2.220446049250313e-16,0.275000065887317,0.02425125054871635,0.3827293832108779,0.3322107085408126,0
900433,Rama Chandra Khuntia,Elected,2008-03-04,2014-04-02,3,,20,14,1,Professional Post Graduate,"Graduate in Law, M.B.A. Educated at Utkal University and Sikkim Manipal University",70,99.0,5.0,777.0,0.800561798, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.16549539764768584,0.27589810041800295,0.36206158717115033,2.220446049250313e-16,0.10874334064517424,0.015069967717814103,0.22059138366887707,0.5489634580367144,0
900262,M.V. Mysura Reddy,Elected,2006-03-04,2012-04-02,1,,0,43,1,Professional Graduate,"M.B.B.S. Educated at Government Medical College, Kurnool (Andhra Pradesh",75,68.0,1.0,494.0,0.932126697, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.09920048305159677,0.1732892820415913,0.22714412518300542,2.220446049250313e-16,0.04073798117962404,0.027448869752126497,0.21968349842139415,0.4992240881851031,0
900264,Mabel Rebello,Elected,2006-03-04,2012-04-02,3,,11,14,0,Post Graduate,"M.A., D.S.W. (Diploma in Social Work) Educated at St. Joseph's School, St. Agnes College, Roshini Nilaya, Bangalore and Bakratulla University, Bhopal",74,26.0,3.0,249.0,0.914027149, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.09920048305159677,0.1732892820415913,0.22714412518300542,2.220446049250313e-16,0.04724224380860267,0.015069967717814103,0.2188231499992171,0.619069295134695,0
900575,Vandana Hemant Chavan,Elected,2018-03-04,2024-04-02,3,,15,30,0,Professional Graduate,"B.Sc., LL.B. Educated at Hutchings High School, Pune, Fergusson College, Pune and I.L.S. Law College, Pu",63,362.0,5.0,693.0,0.779891304, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.8116555063573024,0.7931486311761226,0.7537616477552261,2.220446049250313e-16,0.43365054969630434,0.2194974868329441,0.7155592435447828,0.5703374042975264,0
900496,Shadi Lal Batra,Elected,2009-04-08,2018-04-02,3,,8,14,1,Professional Graduate,"B.Com., LL.B. ; Educated at Vaish College, Rohtak, Haryana and Faculty of Law, University of Delhi, Delhi",84,35.0,10.0,414.0,0.928338762, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.41069824658626464,0.5351250510259326,0.6249208036477079,2.220446049250313e-16,0.11285087523110307,0.06350914963333144,0.3088136145624648,0.8760116688134363,0
900198,K. K. Ragesh,Elected,,2021-04-21,1,,13,11,1,Professional Graduate,"B.A., LL.B.; Educated at Kerala Law Academy, Law College, Thiruvananthapuram",54,299.0,6.0,610.0,0.875, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.4070618524946879,0.351745287909326,0.381148709812797,2.220446049250313e-16,0.2485394188007101,0.025834230354942585,0.2731526158458807,0.5556935870655604,0
900687,Ilaiyaraaja,Nominated,2022-07-07,,1,,28,31,1,Information not available,Information not available,81,0.0,0.0,0.0,0.19047619, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.25144848841125383,0.20614673352727156,0.11568651703834754,2.220446049250313e-16,0.14629505365315693,0.04196167317125347,0.21519344918562192,0.6241079561533733,0
900268,Mahendra Mohan,Elected,2006-03-04,2012-04-02,1,,28,37,1,Graduate,"B. Com. Educated at G.N.K. Inter College, B.N.S.D. Inter College and D.A.V. College, Kanpur (Uttar Pradesh)",83,44.0,10.0,370.0,0.760180995, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.09920048305159677,0.1732892820415913,0.22714412518300542,2.220446049250313e-16,0.03849811791473797,0.038247855823054386,0.10114830663386466,0.7698466304986602,0
900148,G.V.L. Narasimha Rao,Elected,2018-03-04,2024-04-02,1,,28,7,1,Graduate,"B.Sc.(Agriculture), P.G. Diploma in Rural Management (PGDRM) Educated at Agricultural College, Baptala, Andhra Pradesh Agricultural University and Institute of Rural Management, Anand (Gujarat)",60,82.0,1.0,304.0,0.971962617, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.4840999983147432,0.40324123155547126,0.32707596182077514,2.220446049250313e-16,0.1870794795479662,0.012174752260364106,0.2203895343428327,0.7698466304986602,0
900589,Vijila Sathyananth,Elected,2014-03-04,2020-04-02,1,,25,1,0,Professional Post Graduate,"B.Sc., B.Ed., P.G.D.C.A., M.B.A. Educated at Madurai Kamaraj University, Madurai and Manonmaniam Sundaranar University, Tirunelveli",53,230.0,1.0,518.0,0.882951654, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.41713799416474234,0.43200559273247013,0.41395092872381517,2.220446049250313e-16,0.275000065887317,0.02425125054871635,0.3827293832108779,0.3322107085408126,0
900286,Mansukh L. Mandaviya,Elected,2018-03-04,2024-04-02,3,,7,7,1,Inter/ Higher Secondary,"H.S.C., Veterinary Live Stock Inspector (Certificate Course), Educated at Songadh Gurukul and Gujarat Agricultural University, S.K. Nagar, Dantiwada, Gujarat",52,56.0,14.0,449.0,0.679442509,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 2016. Data corresponds to the period from 01-06-2009 to 09-08-2024.",0.20435371905096,0.2547799261057798,0.27644621982463313,2.220446049250313e-16,0.06471732590926636,0.09058290112927252,0.19509861200416576,0.8104578100014947,0
900565,Thomas Sangma,Elected,,2013-02-04,1,,17,30,1,Diploma Course,"Under Graduate, Diploma in Computer Applications Educated at Tura Government College (N.E.H.U.), Tura and C.A. I. (Kolkata), Tura",63,8.0,4.0,58.0,0.850533808, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.1275422416384657,0.26343290936846603,0.2907242808632647,2.220446049250313e-16,0.015512378564018787,0.1280947255206879,0.05015114408542193,0.6461352104625759,0
900272,Mahesh Poddar,Elected,2016-08-07,2022-07-07,1,,11,7,1,Professional Graduate,Bachelor of Engineering (Mechanical) from Bangalore University,74,116.0,4.0,622.0,0.923076923, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.432711612233087,0.34275883673224755,0.3687128369959356,2.220446049250313e-16,0.08884362268483488,0.024757804100917574,0.3350310794234959,0.619069295134695,0
900599,Vivek Gupta,Elected,2012-03-04,2018-04-02,1,,30,3,1,Graduate,"B.Com (Hons.), Degree in System Design and Analyst and Degree in Print Production Educated at Calcutta University, Kolkata, NIIT, Kolkata and V.D.M.A. (Germany)",48,144.0,27.0,668.0,0.821428571, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.32581978253979543,0.38223232585392547,0.4244695666256741,2.220446049250313e-16,0.2197922729005779,0.0731969860164349,0.2138026293171153,0.3087753329072407,0
900438,Ramkumar Verma,Elected,2016-05-07,2022-07-04,1,,23,7,1,Post Graduate,"M.A. (Economics) Educated at Government Senior Secondary School (Rajasthan Board), Government College, Rajgarh, Alwar, University of Rajasthan, Jaipur and R.R. Government College, Alwar, University of Rajasthan, Jaipur",69,95.0,1.0,234.0,0.982905983, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.432711612233087,0.34275883673224755,0.3687128369959356,2.220446049250313e-16,0.12275596542629917,0.07552924291630217,0.2583849498613383,0.7425718854527124,0
900107,Brinda Karat,Elected,,2011-08-18,1,,30,11,0,Graduate,"Senior Cambridge, B.A. Educated at Welham Girls High School, Dehradun, Loreto House, Kolkata and Miranda House, Delhi University, Delhi",76,69.0,3.0,173.0,0.858823529, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.07669252259564659,0.16700318805526054,0.17705233017037,2.220446049250313e-16,0.05907912324353857,0.012148239300192163,0.0903622070053302,0.3087753329072407,0
900178,Jai Prakash Narayan Singh,Elected,2008-10-04,2014-04-09,1,,11,7,1,Graduate,B.Sc. (Hons.) Educated at Bihar University,75,50.0,1.0,511.0,0.856741573, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.16549539764768584,0.27589810041800295,0.36206158717115033,2.220446049250313e-16,0.06795899179755747,0.020452099052524736,0.36548939046742956,0.619069295134695,0
900089,Bhalchandra Mungekar,Nominated,,2016-03-21,1,,28,14,1,Doctorate,"B.A.(Hons.) in Economics, M.A.(Economics) Ph.D. ; Educated at University of Mumbai",78,82.0,2.0,300.0,0.88, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.2551494374771147,0.36818595912562935,0.4146261906922453,2.220446049250313e-16,0.14629505365315693,0.04196167317125347,0.21519344918562192,0.6241079561533733,0
900093,Bhupender Yadav,Elected,2018-04-04,2024-04-03,3,,23,7,1,Professional Graduate,"B.A. (Hons.), LL. B. Educated at Government College, Ajmer and Maharishi Dayanand University, Ajmer",55,123.0,3.0,270.0,0.857638889,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 09-08-2024.",0.5466317348278715,0.5346144108159497,0.5834567766946958,2.220446049250313e-16,0.18063638804984394,0.08234660925637949,0.3642312241789376,0.7425718854527124,0
900397,R.C. Singh,Elected,,2012-04-02,1,,30,10,1,Inter/ Higher Secondary,"Higher Secondary, Certificate in Mining Educated at D.A.V. School, Mau, Janta Degree College, Ranipur, Mau, Uttar Pradesh and Indian School of Mines, Dhanbad",80,92.0,3.0,601.0,0.959276018, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.09920048305159677,0.1732892820415913,0.22714412518300542,2.220446049250313e-16,0.07412142973657514,0.012148239300192163,0.1093075679890245,0.3087753329072407,0
900592,Vilasrao Dagadojirao Deshmukh,Elected,2009-04-08,2012-08-14,3,,15,14,1,Professional Graduate,"B.Sc., B.A., LL.B. Educated at Garware College, Pune University, Pune and I.L.S. Law College, Pune (Maharashtra)",79,,,,,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 01-06-2009 to 09-08-2024.",0.2985397099487037,0.29996313148654075,0.3006216172347093,0.0,0.14629505365315693,0.04196167317125347,0.21519344918562192,0.6241079561533733,0
900061,Ashok Bajpai,Elected,2018-03-04,2024-04-02,1,,28,7,1,Doctorate,"B.Sc., LL.B., Diploma in Public Administration, M.A. (Public Administration), M.A. (Political Science), Ph.D. (Public Administration) Educated at R.R. College, Hardoi, Lucknow University, Lucknow and Kanpur University, Kanpur, Uttar Pradesh",75,101.0,1.0,235.0,0.978193146, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.4840999983147432,0.40324123155547126,0.32707596182077514,2.220446049250313e-16,0.1870794795479662,0.012174752260364106,0.2203895343428327,0.7698466304986602,0
900119,D. Raja,Elected,,2019-07-24,3,,25,10,1,Professional Graduate,"B.Sc., B.Ed. Educated at University of Madras, Chennai and Department of Education, Madras",75,628.0,1.0,1398.0,0.908460472, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.49262403838173263,0.6337179315201747,0.7316656632307553,2.220446049250313e-16,0.3184446999230674,0.0431414761997509,0.6318158738340695,0.3322107085408126,0
900068,Avinash Rai Khanna,Elected,2010-10-04,2016-04-09,1,,22,7,1,Professional Graduate,"B.Com., LL.B., Diploma in Business Management ; Educated at D.A.V. College, Jalandhar and Panjab University, Chandigarh",63,145.0,5.0,588.0,0.915294118, Data corresponds to the period from 01-06-2009 to 09-08-2024.,0.2551494374771147,0.36818595912562935,0.4146261906922453,2.220446049250313e-16,0.11761395249954723,0.03075503615682718,0.2660033445369065,0.5844174733438972,0
