mp_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,ag_debates,ag_private_member_bills,ag_questions,avg_attendance,mp_note,ag_national_average_debate,ag_national_average_pmb,ag_national_average_questions,avg_attendance_national_average,ag_state_average_debate,ag_state_average_pmb,ag_state_average_questions,avg_attendance_state_average,mp_house
900411,Rajeev Shankarrao Satav,Elected,03-04-2020,16-05-2021,First Term,N/A,Maharashtra,Indian National Congress,Male,Post Graduate,"B.Sc, M.A., LL.B",49,37,N/A,93,0.741935484, Data corresponds to the period from 01-06-2009 to 09-08-2024.,14.7655934,N/A,26.98962433,0.797189314,23.6,N/A,44.8,0.786057162,Rajya Sabha
900316,N. K. Singh,Elected,10-04-2008,09-04-2014,First Term,N/A,Bihar,Janata Dal (United),Male,Post Graduate,"M.A. (Economics) Educated at St. Stephen's College, University of Delhi and Delhi School of Economics, Delhi",83,115,1,1036,0.859550562, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,51.8375,0.0625,331.9958333,0.828824349,Rajya Sabha
900488,Sasikala Pushpa,Elected,03-04-2014,02-04-2020,First Term,N/A,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Female,Post Graduate,"B.A. (English Literature), M.A. (Public Administration), Diploma in Business Administation Educated at University of Madras, Chennai and Southern Cross University, Singapore",48,27,3,523,0.699745547, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,136.8039216,0.784313725,438.3496732,0.716988582,Rajya Sabha
900433,Rama Chandra Khuntia,Elected,03-04-2008,02-04-2014,Second Term,N/A,Odisha,Indian National Congress,Male,Professional Post Graduate,"Graduate in Law, M.B.A. Educated at Utkal University and Sikkim Manipal University",70,99,5,777,0.800561798, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,54.27777778,0.5,252.9222222,0.779857655,Rajya Sabha
900262,M.V. Mysura Reddy,Elected,03-04-2006,02-04-2012,First Term,N/A,Andhra Pradesh,Telugu Desam Party,Male,Professional Graduate,"M.B.B.S. Educated at Government Medical College, Kurnool (Andhra Pradesh",75,68,1,494,0.932126697, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,20.52142857,0.883333333,251.8839286,0.765430765,Rajya Sabha
900264,Mabel Rebello,Elected,03-04-2006,02-04-2012,Second Term,N/A,Jharkhand,Indian National Congress,Female,Post Graduate,"M.A., D.S.W. (Diploma in Social Work) Educated at St. Joseph's School, St. Agnes College, Roshini Nilaya, Bangalore and Bakratulla University, Bhopal",74,26,3,249,0.914027149, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,23.75,0.5,250.9,0.800191833,Rajya Sabha
900575,Vandana Hemant Chavan,Elected,03-04-2018,02-04-2024,Second Term,N/A,Maharashtra,Nationalist Congress Party,Female,Professional Graduate,"B.Sc., LL.B. Educated at Hutchings High School, Pune, Fergusson College, Pune and I.L.S. Law College, Pu",63,362,5,693,0.779891304, Data corresponds to the period from 01-06-2009 to 09-08-2024.,190.0384066,2.733821306,589.8961533,0.797189314,215.5544962,6.830438842,818.9871104,0.786057162,Rajya Sabha
900496,Shadi Lal Batra,Elected,04-08-2009,02-04-2018,Second Term,N/A,Haryana,Indian National Congress,Male,Professional Graduate,"B.Com., LL.B. ; Educated at Vaish College, Rohtak, Haryana and Faculty of Law, University of Delhi, Delhi",84,35,10,414,0.928338762, Data corresponds to the period from 01-06-2009 to 09-08-2024.,96.35989646,1.852990286,489.3605005,0.797189314,56.31666667,2,353.8166667,0.874717895,Rajya Sabha
900198,K. K. Ragesh,Elected,23-04-2015,21-04-2021,First Term,N/A,Kerala,Communist Party of India (Marxist),Male,Professional Graduate,"B.A., LL.B.; Educated at Kerala Law Academy, Law College, Thiruvananthapuram",54,299,6,610,0.875, Data corresponds to the period from 01-06-2009 to 09-08-2024.,95.51029972,1.226975471,299.1429747,0.797189314,123.6694444,0.833333333,313.0333333,0.781809727,Rajya Sabha
900687,Ilaiyaraaja,Nominated,07-07-2022,In Office,First Term,N/A,N/A,Nominated,Male,Information not available,Information not available,81,0,0,0,0.19047619, Data corresponds to the period from 01-06-2009 to 09-08-2024.,59.15323734,0.7299367,92.00047242,0.797189314,N/A,N/A,N/A,N/A,Rajya Sabha
900268,Mahendra Mohan,Elected,03-04-2006,02-04-2012,First Term,N/A,Uttar Pradesh,Samajwadi Party,Male,Graduate,"B. Com. Educated at G.N.K. Inter College, B.N.S.D. Inter College and D.A.V. College, Kanpur (Uttar Pradesh)",83,44,10,370,0.760180995, Data corresponds to the period from 01-06-2009 to 09-08-2024.,23.58244777,0.61776919,178.9718321,0.797189314,19.40961022,1.217741935,116.322379,0.843924756,Rajya Sabha
900148,G.V.L. Narasimha Rao,Elected,03-04-2018,02-04-2024,First Term,N/A,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"B.Sc.(Agriculture), P.G. Diploma in Rural Management (PGDRM) Educated at Agricultural College, Baptala, Andhra Pradesh Agricultural University and Institute of Rural Management, Anand (Gujarat)",60,82,1,304,0.971962617, Data corresponds to the period from 01-06-2009 to 09-08-2024.,113.5092723,1.402770352,256.9495301,0.797189314,93.16209633,0.410344828,252.6913793,0.843924756,Rajya Sabha
900589,Vijila Sathyananth,Elected,03-04-2014,02-04-2020,First Term,N/A,Tamil Nadu,All India Anna Dravida Munnetra Kazhagam,Female,Professional Post Graduate,"B.Sc., B.Ed., P.G.D.C.A., M.B.A. Educated at Madurai Kamaraj University, Madurai and Manonmaniam Sundaranar University, Tirunelveli",53,230,1,518,0.882951654, Data corresponds to the period from 01-06-2009 to 09-08-2024.,97.86446071,1.500965027,324.7388369,0.797189314,136.8039216,0.784313725,438.3496732,0.716988582,Rajya Sabha
900286,Mansukh L. Mandaviya,Elected,03-04-2018,02-04-2024,Second Term,N/A,Gujarat,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"H.S.C., Veterinary Live Stock Inspector (Certificate Course), Educated at Songadh Gurukul and Gujarat Agricultural University, S.K. Nagar, Dantiwada, Gujarat",52,56,14,449,0.679442509,"This MP was appointed a minister in Jul 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till May 2016. Data corresponds to the period from 01-06-2009 to 09-08-2024.",48.1501498,0.895958831,217.4426936,0.797189314,32.42424242,2.838383838,223.7676768,0.855704017,Rajya Sabha
900565,Thomas Sangma,Elected,13-04-2008,04-02-2013,First Term,N/A,Meghalaya,Nationalist Congress Party,Male,Diploma Course,"Under Graduate, Diploma in Computer Applications Educated at Tura Government College (N.E.H.U.), Tura and C.A. I. (Kolkata), Tura",63,8,4,58,0.850533808, Data corresponds to the period from 01-06-2009 to 09-08-2024.,30.20413538,0.925498054,228.5839912,0.797189314,8,4,58,0.808042294,Rajya Sabha
900272,Mahesh Poddar,Elected,08-07-2016,07-07-2022,First Term,N/A,Jharkhand,Bharatiya Janata Party,Male,Professional Graduate,Bachelor of Engineering (Mechanical) from Bangalore University,74,116,4,622,0.923076923, Data corresponds to the period from 01-06-2009 to 09-08-2024.,101.5030364,1.196297868,289.4391529,0.797189314,44.4,0.8,383.8,0.800191833,Rajya Sabha
900599,Vivek Gupta,Elected,03-04-2012,02-04-2018,First Term,N/A,West Bengal,All India Trinamool Congress,Male,Graduate,"B.Com (Hons.), Degree in System Design and Analyst and Degree in Print Production Educated at Calcutta University, Kolkata, NIIT, Kolkata and V.D.M.A. (Germany)",48,144,27,668,0.821428571, Data corresponds to the period from 01-06-2009 to 09-08-2024.,76.5291343,1.331050954,332.9466233,0.797189314,109.4,2.3,245.1583333,0.710191158,Rajya Sabha
900438,Ramkumar Verma,Elected,05-07-2016,04-07-2022,First Term,N/A,Rajasthan,Bharatiya Janata Party,Male,Post Graduate,"M.A. (Economics) Educated at Government Senior Secondary School (Rajasthan Board), Government College, Rajgarh, Alwar, University of Rajasthan, Jaipur and R.R. Government College, Alwar, University of Rajasthan, Jaipur",69,95,1,234,0.982905983, Data corresponds to the period from 01-06-2009 to 09-08-2024.,101.5030364,1.196297868,289.4391529,0.797189314,61.23333333,2.372222222,296.1444444,0.836013724,Rajya Sabha
900107,Brinda Karat,Elected,19-08-2005,18-08-2011,First Term,N/A,West Bengal,Communist Party of India (Marxist),Female,Graduate,"Senior Cambridge, B.A. Educated at Welham Girls High School, Dehradun, Loreto House, Kolkata and Miranda House, Delhi University, Delhi",76,69,3,173,0.858823529, Data corresponds to the period from 01-06-2009 to 09-08-2024.,18.32375211,0.596309963,139.8847604,0.797189314,29.62556391,0.40952381,103.9869674,0.710191158,Rajya Sabha
900178,Jai Prakash Narayan Singh,Elected,10-04-2008,09-04-2014,First Term,N/A,Jharkhand,Bharatiya Janata Party,Male,Graduate,B.Sc. (Hons.) Educated at Bihar University,75,50,1,511,0.856741573, Data corresponds to the period from 01-06-2009 to 09-08-2024.,39.07140246,0.968051246,284.2491237,0.797189314,34.03333333,0.666666667,418.6333333,0.800191833,Rajya Sabha
900089,Bhalchandra Mungekar,Nominated,22-03-2010,21-03-2016,First Term,N/A,N/A,Indian National Congress,Male,Doctorate,"B.A.(Hons.) in Economics, M.A.(Economics) Ph.D. ; Educated at University of Mumbai",78,82,2,300,0.88, Data corresponds to the period from 01-06-2009 to 09-08-2024.,60.01791652,1.283100005,325.2657498,0.797189314,N/A,N/A,N/A,N/A,Rajya Sabha
