mp_name,nature_membership,term_start_date,term_end_date,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note
Bhupathiraju Srinivasa Varma,Elected,09-06-2024,In Office,Narsapuram,Andhra Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,M.A. (Politics) 1999 from Andhra University,57,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Chandra Sekhar Pemmasani,Elected,09-06-2024,In Office,Guntur,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"M.D. Internal Medicine at Geisinger Medical Center in Danville, Pennsylvania, USA 2005",48,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Maddila Gurumoorthy,Elected,09-06-2024,In Office,Thirupati,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"Bachelor of Physiotherapy from Sri Venkateswara Institute of Medical science, Tirupati 2004-2008",39,6.0,1.0,19.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Kinjarapu Rammohan Naidu,Elected,09-06-2024,In Office,Srikakulam,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"MBA from Island University, New York, USA, Year 2011",36,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Kiren Rijiju,Elected,09-06-2024,In Office,Arunachal West,Arunachal Pradesh,Bharatiya Janata Party,Male,Graduate,L.L.B. from Law Faculty of University of Delhi in year 1998,52,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Sarbananda Sonowal,Elected,09-06-2024,In Office,Dibrugarh,Assam,Bharatiya Janata Party,Male,Graduate,"LLB G. U. Law College, Gauhati University, Guwahati",61,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Alok Kumar Suman,Elected,09-06-2024,In Office,Gopalganj,Bihar,Janata Dal (United),Male,Post Graduate and above,"Master of Surgery from PMCH, Patna University in year 1991",67,12.0,3.0,27.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
Chirag Paswan,Elected,09-06-2024,In Office,Hajipur,Bihar,Lok Janshakti Party (Ram Vilas),Male,Graduate,"B.Tech (IInd Semester) from Bundelkhand University, Jhansi in year 2005",41,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Giriraj Singh,Elected,09-06-2024,In Office,Begusarai,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A. from Magadh University, 1971",71,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)"
Janardan Singh Sigriwal,Elected,09-06-2024,In Office,Maharajganj,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A, Bihar University, Muzaffarpur, 1980",65,8.0,3.0,21.0,, Data corresponds to the period from 24-06-2024 to 09-08-2024. (Attendance not available)
